T,Sunergy-370W,Luxen-450W
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.111894421,0.136634446
9,0.186544953,0.228648428
10,0.246966881,0.303838684
11,0.286160511,0.353137443
12,0.305809954,0.378208549
13,0.30442211,0.376851248
14,0.282770123,0.349762197
15,0.241810541,0.2984342
16,0.182178366,0.224072546
17,0.106534748,0.130509702
18,0.026424025,0.032228362
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0.109238864,0.133385321
33,0.183877217,0.225369924
34,0.244713329,0.30107261
35,0.286526381,0.353672169
36,0.305117034,0.377488858
37,0.304007065,0.376388548
38,0.28311107,0.350222263
39,0.242348441,0.299110882
40,0.131083904,0.16083839
41,0.023269802,0.028408677
42,0.003550126,0.004326205
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0.097398938,0.118928069
57,0.164020525,0.200986587
58,0.175980473,0.215969287
59,0.203894829,0.250761007
60,0.210317701,0.258959626
61,0.106545132,0.130641134
62,0.144625978,0.177661235
63,0.172810998,0.212537961
64,0.173956572,0.213898917
65,0.098942081,0.121191739
66,0.024988164,0.03048582
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0.109233557,0.133462722
81,0.177643474,0.217828211
82,0.194398772,0.238779456
83,0.271229026,0.334665663
84,0.288352476,0.356415674
85,0.285942132,0.353660503
86,0.231995587,0.286190995
87,0.219592398,0.270703005
88,0.181516982,0.223278083
89,0.106608658,0.130622143
90,0.01582804,0.019302621
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0.107461289,0.131288496
105,0.166212671,0.203713299
106,0.213580526,0.262567829
107,0.186106,0.2287471
108,0.248252531,0.306301062
109,0.288711165,0.357249745
110,0.198821113,0.244891865
111,0.141330284,0.173584023
112,0.183282961,0.225492394
113,0.108720069,0.133224612
114,0.028835298,0.035184201
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0.055719699,0.067950711
129,0.122190692,0.149502412
130,0.208815497,0.256665599
131,0.229790446,0.283040157
132,0.272599881,0.336876773
133,0.260320426,0.321714612
134,0.27541131,0.340807384
135,0.217500608,0.268252884
136,0.154846686,0.190301785
137,0.105146581,0.128858242
138,0.027883465,0.034028607
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0.068079119,0.083058328
153,0.135465634,0.165861826
