T,Sunergy-370W,Luxen-450W
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.010688568,0.013015079
9,0.089466545,0.109158066
10,0.152858371,0.186825034
11,0.218798594,0.267937636
12,0.288368081,0.353904649
13,0.262352244,0.321717679
14,0.26588388,0.326071256
15,0.284951312,0.349621441
16,0.230480763,0.282289801
17,0.166218204,0.203201543
18,0.115869516,0.141446038
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0.008306088,0.010112571
33,0.075623506,0.092229835
34,0.164822694,0.201507055
35,0.228446046,0.27983008
36,0.178911504,0.218842072
37,0.294513824,0.361593181
38,0.317562404,0.390291941
39,0.295355133,0.362751516
40,0.251493854,0.308414778
41,0.184577847,0.225897576
42,0.120624972,0.14734701
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0.010067107,0.012255846
57,0.089306368,0.108961014
58,0.171829482,0.210173955
59,0.237231676,0.290776621
60,0.289133548,0.355014624
61,0.280208233,0.343982004
62,0.248265506,0.304455103
63,0.269583583,0.330846697
64,0.226572069,0.277653514
65,0.158441993,0.193738422
66,0.116618789,0.142414905
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0.010042735,0.012225891
81,0.067838653,0.082722833
82,0.174131908,0.213050694
83,0.241708884,0.296435513
84,0.229813536,0.281738476
85,0.311947891,0.383692938
86,0.152975614,0.187059402
87,0.241636837,0.296460099
88,0.208621265,0.255642993
89,0.142939998,0.174759183
90,0.114430731,0.139763113
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0.010593541,0.012897647
105,0.088950876,0.108546861
106,0.160758309,0.19664086
107,0.2387421,0.29280685
108,0.223354072,0.273732844
109,0.28923209,0.355297034
110,0.307198307,0.377606742
111,0.296604028,0.364413083
112,0.254393618,0.312049223
113,0.180824143,0.221257476
114,0.089853379,0.10963715
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0.011164675,0.013591016
129,0.095182602,0.116148013
130,0.17996946,0.220201606
131,0.16972272,0.207577897
132,0.102942994,0.125639682
133,0.219308926,0.268673254
134,0.242746841,0.297647303
135,0.264620037,0.324728488
136,0.221945191,0.27193674
137,0.198865123,0.243470772
138,0.115202258,0.140667414
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0.011723944,0.014270732
153,0.097025591,0.118432877
