T,FK-3kW,FX-400,FX-1000
1,1.5305,0.389063,0.926087
2,1.3975,0.382813,0.9152175
3,1.3975,0.382813,0.9
4,1.1965,0.364844,0.873913
5,1.1965,0.364844,0.85
6,1.1965,0.364844,0.873913
7,1.1965,0.374219,0.873913
8,1.1965,0.374219,0.873913
9,1.1965,0.374219,0.8869565
10,1.1965,0.374219,0.8869565
11,1.3975,0.382813,0.9
12,1.3975,0.382813,0.9
13,1.1965,0.374219,0.873913
14,1.1965,0.374219,0.8869565
15,1.3975,0.382813,0.9152175
16,1.5305,0.389063,0.9369565
17,1.6535,0.389063,0.9369565
18,1.831,0.39375,0.95
19,2.0355,0.394531,0.969565
20,2.2295,0.394531,0.969565
21,2.2295,0.394531,0.969565
22,2.0355,0.394531,0.969565
23,2.0355,0.394531,0.9608695
24,2.0355,0.394531,0.9608695
25,1.831,0.39375,0.95
26,1.831,0.39375,0.95
27,1.6535,0.389063,0.9369565
28,1.5305,0.389063,0.926087
29,1.3975,0.382813,0.9152175
30,1.3975,0.382813,0.9152175
31,1.3975,0.382813,0.9152175
32,1.3975,0.382813,0.9152175
33,1.3975,0.382813,0.9
34,1.1965,0.374219,0.8869565
35,1.1965,0.374219,0.8869565
36,1.1965,0.364844,0.873913
37,0.992,0.3539065,0.85
38,0.992,0.3414065,0.8195655
39,0.815,0.3289065,0.7869565
40,0.815,0.3289065,0.7869565
41,0.815,0.3125,0.726087
42,0.6275,0.2960935,0.6608695
43,0.6275,0.2960935,0.6608695
44,0.6275,0.2960935,0.6608695
45,0.6275,0.3125,0.6934785
46,0.6275,0.3125,0.6934785
47,0.815,0.3289065,0.7869565
48,0.992,0.3539065,0.85
49,1.1965,0.374219,0.873913
50,1.1965,0.374219,0.873913
51,1.1965,0.364844,0.85
52,0.992,0.3539065,0.85
53,0.992,0.3414065,0.7869565
54,0.815,0.3125,0.726087
55,0.6275,0.3125,0.6934785
56,0.6275,0.3125,0.6934785
57,0.6275,0.3125,0.6934785
58,0.6275,0.2960935,0.6608695
59,0.6275,0.3125,0.6934785
60,0.815,0.3125,0.726087
61,0.6275,0.2960935,0.6608695
62,0.6275,0.282812,0.626087
63,0.6275,0.270312,0.5956525
64,0.4705,0.270312,0.5673915
65,0.4705,0.270312,0.5673915
66,0.4705,0.270312,0.5673915
67,0.4705,0.270312,0.5673915
68,0.4705,0.25625,0.5673915
69,0.4705,0.25625,0.530435
70,0.4705,0.2414065,0.4978265
71,0.4705,0.2414065,0.4978265
72,0.4705,0.25625,0.5673915
73,0.4705,0.25625,0.5673915
74,0.4705,0.25625,0.530435
75,0.4705,0.2414065,0.4978265
76,0.4705,0.2414065,0.4978265
77,0.3715,0.228125,0.4173915
78,0.2895,0.2015625,0.3565215
79,0.2895,0.2015625,0.3282605
80,0.2895,0.215625,0.3847825
81,0.2895,0.215625,0.3847825
82,0.2895,0.215625,0.3847825
83,0.2895,0.215625,0.3847825
84,0.2895,0.215625,0.3847825
85,0.2895,0.2015625,0.3282605
86,0.208,0.175,0.2717395
87,0.208,0.163281,0.2217395
88,0.208,0.150781,0.204348
89,0.1435,0.1359375,0.204348
90,0.208,0.163281,0.2217395
