T,GHI_PC,WS_PC,TEM_PC,GHI_SA,WS_SA,TEM_SA
1,0,1.1,23.4,0,8.9,27.2
2,0,1.2,23,0,8.7,27.2
3,0,1.4,22.7,0,8.6,27.2
4,0,1.5,22.4,0,8.3,27.1
5,0,1.5,22.1,0,8.2,27.1
6,0,1.5,21.9,0,8.3,27.2
7,43,2.4,23.5,0,8.4,27.3
8,257,3.8,25.9,18,8.4,27.3
9,491,4.1,28.2,197,8.5,27.3
10,693,3.9,30.3,366,8.5,27.3
11,836,3.5,31.9,549,8.6,27.4
12,916,3.1,33.2,748,8.6,27.4
13,921,2.6,34.1,678,8.4,27.3
14,848,2.3,34.4,685,8.5,27.3
15,707,2.1,34.3,728,8.8,27.3
16,510,2,33.6,563,9,27.3
17,279,1.5,32.2,373,9.1,27.3
18,60,0.9,29.5,200,9.4,27.2
19,0,1,28.3,20,9.7,27.2
20,0,1,27.6,0,9.8,27.2
21,0,1,27.1,0,9.8,27.2
22,0,1,26.5,0,9.7,27.2
23,0,1.1,26,0,9.6,27.2
24,0,1,25.4,0,9.6,27.1
25,0,1.2,25,0,9.4,27
26,0,1.6,24.7,0,9.3,26.9
27,0,2,24.4,0,9.1,26.9
28,0,2,23.9,0,8.9,26.8
29,0,1.7,23.3,0,8.8,26.9
30,0,1.6,22.8,0,8.7,27
31,40,2.6,24,0,8.8,27
32,251,3.8,26,14,8.7,27.1
33,484,3.8,28.1,166,8.6,27.2
34,687,3.6,30.2,396,8.5,27.2
35,839,3.3,32,575,8.5,27.3
36,917,2.8,33.4,450,8.3,27.3
37,921,2.5,34.2,770,8.1,27.3
38,850,2.2,34.4,835,7.8,27.4
39,709,2,34.2,762,7.6,27.4
40,359,1.8,33.4,622,7.6,27.4
41,59,1.5,32.1,419,7.3,27.5
42,8,0.9,29.5,210,7.1,27.5
43,0,0.9,28.4,21,7.1,27.4
44,0,1,27.7,0,7.1,27.3
45,0,1.1,27,0,7.2,27.3
46,0,1.2,26.5,0,7.2,27.2
47,0,1.2,26,0,7.6,27.1
48,0,1.2,25.4,0,8.1,27
49,0,1.2,25,0,8.4,26.9
50,0,1.3,24.6,0,8.4,26.8
51,0,1.4,24.3,0,8.2,26.7
52,0,1.9,24.1,0,8,26.7
53,0,1.9,23.7,0,7.7,26.7
54,0,1.9,23.4,0,7.4,26.7
55,29,2.6,24.6,0,7.2,26.8
56,224,3.5,26.8,17,7.2,26.8
57,431,3.6,29.1,197,7.2,26.9
58,483,3.5,31.1,415,7.1,27
59,578,3.2,32.6,601,7.2,27
60,606,2.9,33.9,754,7.3,27
61,296,2.7,34.7,732,7.1,27
62,408,2.4,34.9,640,6.9,27
63,490,2.3,34.6,691,6.8,26.9
64,486,2.1,33.9,557,6.7,26.9
65,259,1.7,32.7,357,6.7,27
66,57,0.9,30.3,203,6.7,27
67,0,1,29.1,20,6.7,27.1
68,0,1.1,28.4,0,6.6,27.1
69,0,1.2,27.8,0,6.5,27.1
70,0,1.5,27.4,0,6.4,27.1
71,0,1.6,27,0,6.4,27.1
72,0,1.5,26.4,0,6.6,27
